,TF-IDF
утра,0.003372178359225338
русского,0.003372178359225338
растопчин,0.003372178359225338
руках,0.003372178359225338
начала,0.003372178359225338
испытывал,0.003372178359225338
ai,0.003372178359225338
никому,0.003372178359225338
последние,0.0033259841351263608
шагами,0.0033259841351263608
жить,0.0033259841351263608
страшно,0.0033259841351263608
старого,0.0033259841351263608
сила,0.0033259841351263608
княжну,0.0033259841351263608
пленных,0.0033259841351263608
слушал,0.0033259841351263608
шли,0.0032797899110273837
неожиданно,0.0032797899110273837
bien,0.0032797899110273837
господа,0.0032797899110273837
молодого,0.0032797899110273837
офицеры,0.0032797899110273837
москва,0.0032797899110273837
боже,0.0032797899110273837
близко,0.0032797899110273837
году,0.0032797899110273837
иначе,0.0032797899110273837
известие,0.003233595686928406
отвечая,0.003233595686928406
часов,0.003233595686928406
никакого,0.003233595686928406
раненых,0.003233595686928406
жюли,0.003233595686928406
бориса,0.003233595686928406
бога,0.003233595686928406
равно,0.003233595686928406
мире,0.003233595686928406
вечера,0.003233595686928406
здоровье,0.003233595686928406
одним,0.003187401462829429
одни,0.003187401462829429
свободы,0.003187401462829429
генерала,0.003187401462829429
солдата,0.003187401462829429
далеко,0.003187401462829429
ch,0.003187401462829429
гостей,0.003187401462829429
рад,0.003187401462829429
испуганно,0.003187401462829429
внимание,0.003187401462829429
новое,0.003187401462829429
идет,0.003187401462829429
полка,0.003187401462829429
числе,0.003187401462829429
имеет,0.0031412072387304517
сначала,0.0031412072387304517
делали,0.0031412072387304517
домой,0.0031412072387304517
случае,0.0031412072387304517
мужа,0.0031412072387304517
желал,0.0031412072387304517
вопросы,0.0030950130146314746
другом,0.0030950130146314746
сидели,0.0030950130146314746
дочь,0.0030950130146314746
подошла,0.0030950130146314746
cher,0.0030950130146314746
столь,0.0030950130146314746
любить,0.0030950130146314746
радости,0.0030950130146314746
пришел,0.0030950130146314746
невозможно,0.0030950130146314746
кому,0.0030950130146314746
спокойно,0.0030950130146314746
10,0.0030488187905324976
сердце,0.0030488187905324976
вечером,0.0030488187905324976
вполне,0.0030488187905324976
дочери,0.0030488187905324976
получил,0.0030488187905324976
строго,0.0030488187905324976
оглядываясь,0.00300262456643352
кабинет,0.00300262456643352
виноват,0.00300262456643352
стола,0.00300262456643352
кутузову,0.00300262456643352
вспомнил,0.00300262456643352
si,0.00300262456643352
минут,0.00300262456643352
столько,0.00300262456643352
война,0.00300262456643352
мама,0.00300262456643352
тихон,0.00300262456643352
большую,0.002956430342334543
деятельность,0.002956430342334543
одном,0.002956430342334543
чувствуя,0.002956430342334543
разных,0.002956430342334543
идти,0.002956430342334543
случилось,0.002956430342334543
знали,0.002956430342334543
горе,0.002956430342334543
графу,0.002956430342334543
представить,0.002956430342334543
считал,0.002956430342334543
рядом,0.002956430342334543
командир,0.002956430342334543
ночи,0.002956430342334543
самым,0.002956430342334543
новые,0.002956430342334543
наших,0.002956430342334543
первое,0.002956430342334543
трудно,0.0029102361182355655
смотреть,0.0029102361182355655
наташей,0.0029102361182355655
деньги,0.0029102361182355655
одному,0.0029102361182355655
уехал,0.0029102361182355655
взяв,0.0029102361182355655
таких,0.0029102361182355655
могут,0.0029102361182355655
дурно,0.0029102361182355655
послышались,0.0028640418941365885
