Artikel;Price EUR;RG
16139829190;52,25;20
51147108852;36,33;20
51147914814;36,93;20
77428829733;68,49;20
51449852233;682,73;20
13537106134;122,96;20
51147109351;33,11;20
51147108861;39,79;20
46637914229;7,34;20
51147914745;55,38;20
46637105761;78,06;20
51147914998;66,16;20
63128557280;1259,38;20
46631702992;19,61;20
61121605831;16,81;20
33351688863;15,36;20
46548829537;49,11;20
32727105872;4,53;20
46639444308;21,54;20
46637108353;12,95;20
21527923967;47,08;20
46639445276;17,83;20
65219827803;126,81;20
51166806384;424,37;20
11137914999;22,19;20
51147925162;33,5;20
11427107869;18,14;20
51148358595;76,58;20
51147924395;48,16;20
51147108864;39,49;20
46538104281;127,04;20
51147925506;51,8;20
51148106359;57,93;20
46637105952;43,2;20
18511540940;91,29;20
77317105299;323,53;20
11319446105;353,24;20
77317105286;162,18;20
46639899431;102,16;20
51147914766;13,76;20
46638103495;853,34;20
46639445274;29,66;20
46639899439;90,71;20
23417915186;144,54;20
32727106102;7,99;20
51148523016;80,06;20
51147109239;111,93;20
51147107804;15,95;20
51147914805;61,46;20
46711540803;184,87;20
46717109064;14,9;20
46631541918;36,48;20
65121541314;38,04;20
32727105750;393,71;20
51147925496;41,71;20
46627108982;21,59;20
46639445285;29,79;20
46637106219;52,66;20
46549898001;249,29;20
33357914914;192,74;20
31427107972;423,75;20
63211754533;58,75;20
46549897983;130;20
46631683104;141,4;20
63267924546;73,44;20
46717107757;184,87;20
11267923788;254,86;20
61131540036;4,68;20
11427921914;18,14;20
65219827802;98,01;20
46628829066;7,06;20
51145A82EE4;52,38;20
63125A83779;1259,38;20
51145A82947;39,06;20
51145A738D1;89,2;20
51145A78BD1;74,48;20
32725A76CC4;476,39;20
51145A82B54;142,03;20
32725A67224;7,91;20
16115B4EDF2;1764,71;20
46525B67851;206,3;20
51145A6F841;46,45;20
77315A6A2B6;42,44;20
77525B44EA6;43,28;20
61125A881C8;59,66;20
36315A65AA5;802,48;20
51145A82956;108,79;20
51145A82B43;176,8;20
51145A82EE6;76,16;20
61125B52319;16,39;20
63125A83777;1637,16;20
46715A68071;105,88;20
32715B3F690;33,19;20
46515A87575;50,83;20
51445A07B35;620,68;20
11845A9D3E8;193,4;20
61125A8CCF6;33,19;20
66125A44044;206,4;20
51145A6F857;54,9;20
77255B347D1;238,66;20
46715A9A878;191,6;20
51145A82911;76,79;20
77255B4C723;34,45;20
31425A6D352;124,66;20
35215A65859;98,76;20
46635A8A065;90,71;20
61125A6DAF9;53,78;20
46635A69E32;23,76;20
65755A69605;52,66;20
51255A7D241;8,65;20
51145A82B45;55,2;20
51145A82957;26,56;20
46635A70D60;39,18;20
46637108556;1457,98;20
61358562112;14,28;20
46628829224;12,36;20
46639899443;16,15;20
51147109352;33,11;20
51147924457;35;20
51149829492;78,58;20
46549445329;42,11;20
46631541477;21,34;20
63179898784;34,3;20
34327705183;47,54;20
51147925158;116,76;20
65127108869;504,2;20
46531638616;141,16;20
46719898529;306,72;20
51147924453;36,75;20
31427923934;648,08;20
46637105296;6,48;20
46637922058;27,63;20
63178544604;74,3;20
51148105427;61,2;20
32727924153;46,83;20
63178548542;72,04;20
31427105809;546,58;20
51166806383;424,37;20
46631745411;20,17;20
46637105295;6,48;20
31487922187;10,13;20
31427107773;423,75;20
51147108849;54,6;20
51148560119;21,24;20
21217924259;28,93;20
61131540031;12,73;20
11319446107;353,24;20
13719829386;14,44;20
51147924455;34,75;20
46638104161;1129,76;20
11127923605;295,2;20
51449852224;682,73;20
11787923482;186,26;20
51147108844;55,38;20
31427108364;576,05;20
51147924396;48,16;20
61278525591;15,21;20
51147109241;43,91;20
11147105396;1,46;20
51147108611;42,5;20
51147107801;11,26;20
46637105772;164,96;20
51147109233;48,46;20
46639445272;32,4;20
51148106432;29,79;20
23007105441;87,34;20
51147924389;126,35;20
65618382546;165,48;20
32717109195;53,2;20
46637924146;33,64;20
51147925505;51,8;20
51147109172;55,01;20
46639899455;18,14;20
46631687667;12,95;20
46638103392;853,34;20
23209829392;295,63;20
46637914228;17,83;20
51438250218;53,72;19
51437324367;53,72;19
51718277872;53,72;14
51718277871;53,72;14
61218544560;34,3;20
51487116987;32,23;19
51487002110;32,23;19
11127852476;32,23;19
61319218995;32,23;19
64118385682;15,74;27
24111218901;15,74;24
46637693999;15,74;32
11142247663;15,74;35
54107117660;12,09;19
