id,Word,Frequency
744,нельзя,847
745,честные,33
746,васто,11
747,сдашь,11
748,надо,1441
749,вертаться,11
750,те,737
751,гденибудь,66
752,со,1606
753,слягой,11
754,караулит,11
755,животов,11
756,отнимет,33
757,веку,55
758,решит,11
759,вздор,209
760,вздоритьто,11
761,бывальщина,11
762,встрел,22
763,родной,55
764,никак,638
765,ничего,2871
766,ними,473
767,поделать,33
768,храбрые,22
769,вы,4213
770,храбрись,22
771,храбрее,11
772,мира,22
773,заметил,264
774,мируто,22
775,ловко,55
776,рассуждаешь,44
777,миру,44
778,теперича,11
779,злобе,22
780,зажжет,11
781,всю,572
782,деревню,110
783,спалит,22
784,небывальщину,11
785,казаки,22
786,свое,891
787,знают,143
788,кур,11
789,ловят,22
790,бабами,99
791,гоняются,11
792,сами,462
793,ворамито,11
794,вместо,198
795,болтают,33
796,про,1793
797,начальство,44
798,каких,154
799,оно,308
800,людей,528
801,приставляет,11
802,ночевать,88
803,господа,429
804,обратился,77
805,проговорили,22
806,чуть,330
807,отшибло,11
808,охоту,33
809,обратили,11
810,успокоился,33
811,хлебнув,44
812,дветри,11
813,каким,176
814,сих,165
815,пор,407
816,воруто,11
817,загубить,11
818,али,66
819,село,99
820,спалить,11
821,одно,649
822,поди,209
823,пойдут,55
824,водить,44
825,тягать,11
826,ловил,11
827,мир,253
828,беду,33
829,ответе,44
830,видите,121
831,этих,583
832,мошенников,11
833,когданибудь,66
834,хоть,1452
835,нет,4092
836,можно,836
837,видеть,275
838,ведмедь,11
839,зверь,33
840,видают,11
841,человека,528
842,видать,121
843,когда,2453
844,помолчал,44
845,положил,55
846,ложку,66
847,взяла,363
848,пошла,605
849,кашей,44
850,годов,66
851,шесть,143
852,пожалуй,176
853,раз,1760
854,такого,253
855,страху,55
856,набрался,33
857,боже,308
858,стали,671
859,верстах,22
860,десяти,77
861,сбочь,11
862,большакато,11
863,есть,2321
864,мимо,187
865,почитай,33
866,завтра,363
867,поедем,33
868,большое,55
869,продавал,44
870,селе,33
871,лошадь,297
872,нашинские,11
873,мужики,352
874,баили,11
875,мерин,33
876,гонкий,11
877,здоровый,44
878,знаешь,979
879,охромела,11
880,время,1309
881,ярмачно,11
882,езды,22
883,встал,341
884,зорьки,22
885,взял,539
886,денег,396
887,рублев,11
888,сорок,154
889,побольше,22
890,иду,209
891,лескуто,11
892,думаю,1100
893,дай,451
894,срежу,11
895,дубину,11
896,ровен,11
897,гляжу,319
898,кустамто,11
899,вижу,770
900,важная,11
901,растет,33
902,хворостина,11
903,комельком,11
904,веточки,11
905,ножом,44
906,опускаю,11
907,ловкая,11
908,вышла,363
909,дубинка,11
910,если,1364
911,кого,649
912,перекрестить,22
913,почухается,11
914,версты,33
915,впереди,77
916,опушкой,11
917,дорогето,22
918,меня,5830
919,шагов,66
920,тридцать,132
921,сидит,517
922,ноги,363
923,свесил,11
924,канаву,22
925,шапки,66
926,голове,319
927,волоса,11
928,длинные,44
929,быть,1474
930,примеру,77
931,дьячка,22
932,молодого,110
933,портишках,11
934,плечи,297
935,голые,44
936,коленях,121
937,лежат,55
938,какието,66
939,лохмотенки,11
940,суконные,11
941,них,1540
942,пальцамито,11
943,перебирает,11
944,ищется,11
945,глянул,33
946,назад,517
947,сторонам,66
948,народушку,22
949,единой,11
950,души,176
951,нигде,198
952,спужался,11
953,вернуться,11
954,погонится,11
955,вперед,187
956,боязно,11
957,даст,121
958,выдаст,22
959,свинья,11
960,съест,22
961,сотворил,22
962,молитву,77
963,подхожу,44
964,стряхнул,22
965,свои,1430
966,лохмотенкито,11
967,дыра,11
968,дыре,11
969,одежа,22
970,солдатская,11
971,сердце,484
972,захолонуло,22
973,ближе,143
974,поровнялся,11
975,принесла,22
976,чашу,44
977,перекрестился,33
978,съев,11
979,ложек,11
980,стал,770
981,досказывать,11
982,уже,902
983,подошел,121
984,жалкий,44
985,сапожонки,11
986,подвязаны,11
987,обрывком,11
988,штанишки,11
989,черные,143
990,нанковые,11
991,кантиком,11
992,свалятся,11
993,рубашонки,22
994,лохмотья,33
995,плечах,55
996,накинуты,11
997,сукно,33
998,солдатское,11
999,воротник,11
1000,оторван,11
1001,плохонький,11
1002,жаль,352
1003,бегах,11
1004,скрывается,44
1005,середний,11
1006,службе,44
1007,таковото,44
1008,озирается,11
1009,тихо,869
1010,говорит,4917
1011,«дай,22
1012,ради,88
1013,бога,143
1014,кусочек,66
1015,хлебушка,11
1016,четвертый,22
1017,маковой,11
1018,росинки,11
1019,во,1617
1020,рту,22
1021,было»,44
1022,«эх,22
1023,говорю,4686
1024,милый,286
1025,кабы,99
1026,знатье,11
1027,хлебушкато»,11
1028,«ну,605
1029,грошик»,11
1030,грошика,55
1031,грошик,11
1032,дал,341
1033,страшно,176
1034,деньги,429
1035,эти,1034
1036,сапоге,11
1037,тряпице,11
1038,связаны,22
1039,станешь,33
1040,разбирать,33
1041,нужде,44
1042,враг,44
1043,силен,33
1044,беде,33
1045,смущает,11
1046,«нету,11
1047,прогневайся»,11
1048,«врешь,33
1049,пожалей,66
1050,душу,242
1051,христианскую»,11
1052,раздумье,44
1053,взяло,44
1054,хочу,572
1055,достать,33
1056,оторопь,33
1057,берет,253
1058,словно,825
1059,дернул,66
1060,язык,77
1061,«давай,33
1062,своих,627
1063,кликну»,11
1064,нагнулся,22
1065,голенищишко,11
1066,сует,22
1067,спинуто,11
1068,доску,44
1069,выставил,11
1070,страх,77
1071,обуял,11
1072,смертный,11
1073,некогда,77
1074,думатьто,22
1075,поднял,99
1076,дубинуто,11
1077,свистну,22
1078,вдоль,44
1079,хрипу,11
1080,размаху,44
1081,повалился,33
1082,руки,1188
1083,стороны,341
1084,растопоршил,11
1085,лежит,176
1086,ничком,11
1087,лягушка,33
1088,какая,550
1089,вскрикнул,121
1090,повернулся,33
1091,екнул,11
1092,разочек,11
1093,вздохнул,77
1094,ударился,11
1095,поры,165
1096,мочи,33
1097,насилу,143
1098,добег,11
1099,страсти,55
1100,приведи,33
1101,мать,1122
1102,царица,33
1103,небесная,44
1104,злому,11
1105,татарину,11
1106,посмотрели,33
1107,атлетическое,11
1108,сложение,11
1109,хозяина,220
1110,переглянулись,44
1111,шел,253
1112,уполоз,11
1113,лес,66
1114,прикончил,11
1115,часом,44
1116,опосля,33
1117,ударилто,11
1118,моей,440
1119,душе,99
1120,грех,297
1121,коли,264
1122,сталось,33
1123,хотел,429
1124,старикам,11
1125,попу,22
1126,каялся,11
1127,старики,77
1128,велели,22
1129,молчать,99
1130,поп,88
1131,разрешил,22
1132,причастие,11
1133,«ты,143
1134,этому,539
1135,причинен»,11
1136,питинью,11
1137,одначе,44
1138,наложил,22
1139,тела,99
1140,находили,33
1141,помолчав,121
1142,года,539
1143,опасовался,11
1144,думал,220
1145,вину,11
1146,оказался,11
1147,сгинул,11
1148,теперя,22
1149,слате,11
1150,деться,77
1151,товарищи,55
1152,справди,11
1153,убрали,11
1154,кончился,44
1155,чай,407
1156,отпили,11
1157,пойдем,220
1158,вдвинем,11
1159,сын,121
1160,отцу,154
1161,вышли,165
1162,будете,88
1163,избе,264
1164,дворето,11
1165,сене,22
1166,ложатся,22
1167,проезжие,11
1168,небе,88
1169,показались,55
1170,звезды,33
1171,ночь,561
1172,теплая,22
1173,двору,253
1174,ходила,143
1175,корова,33
1176,углу,55
1177,отфыркивались,11
1178,лошади,143
1179,двинули,11
1180,заперли,11
1181,сено,55
1182,идите,33
1183,сюда,440
1184,отворил,22
1185,маленькую,66
1186,дверку,11
1187,плетневой,22
1188,сарайчик,11
1189,полный,44
1190,доверху,11
1191,ароматическим,11
1192,сеном,11
1193,упокой,66
1194,полезайте,11
1195,кипажи,11
1196,может,1320
1197,вынесть,22
1198,будьте,22
1199,благонадежны,11
1200,здесь,1507
1201,вашей,209
1202,нитки,33
1203,пропадет,22
1204,сплю,66
1205,указал,55
1206,высокую,22
1207,короватку,33
1208,смещенную,11
1209,столбиках,11
1210,сараем,33
1211,ворот,110
1212,взяли,242
1213,одни,198
1214,подушки,121
1215,коврик,22
1216,пять,440
1217,сарайчике,33
1218,раздавалось,22
1219,носовое,11
1220,посвистыванье,11
1221,похрапыванье,11
1222,точно,583
1223,квартет,11
1224,разыгрывали,11
1225,ранее,22
1226,соло,11
1227,контрабасе,11
1228,назвал,110
1229,«туеском»,11
1230,вслед,297
1231,выделывать,11
1232,разные,176
1233,колена,77
1234,укаченные,11
1235,ездою,11
1236,спали,121
1237,прекрасно,165
1238,снился,22
1239,солдатик,11
1240,говорили,473
1241,вечера,110
1242,ползет,22
1243,голова,539
1244,мертвая,44
1245,зеленая,33
1246,выперло,11
1247,губы,209
1248,синие,44
1249,прикушен,11
1250,зубов,33
1251,носа,66
1252,сочится,11
1253,кровь,121
1254,крови,121
1255,сапожонком,11
1256,ножик,22
1257,самодельной,11
1258,ручке,11
1259,обвитой,11
1260,старой,110
1261,проволочкой,11
1262,кипарисный,11
1263,киевский,11
1264,крестик,11
1265,маленькой,44
1266,тряпочке,11
1267,землицы,11
1268,щепотка,11
1269,занес,22
1270,земельку,11
1271,издалека,22
1272,старуха,231
1273,отцом,165
1274,ждут,66
1275,сына,209
1276,побывочку,11
1277,молодая,165
1278,жена,506
1279,ждет,77
1280,либо,352
1281,вешается,22
1282,казаками,11
1283,или,1793
1284,порах,11
1285,бабки,11
1286,ждите,44
1287,друзья,55
1288,язвительный,55
1289,рассказ,176
1290,чиновника,55
1291,особых,22
1292,поручений,22
1293,прежнем,33
1294,губернаторе,11
1295,позволялось,11
1296,курить,44
1297,канцелярии,66
1298,старшие,11
1299,чиновники,44
1300,обыкновенно,231
1301,куривали,11
1302,комнатке,44
1303,правительским,44
1304,кабинетом,44
1305,младшие,33
1306,сторожке,11
1307,курении,11
