Word,TF-IDF Score
покачал,0.0004646417109948205
дворе,0.00046402972797512
господа,0.00046353094184867737
сих,0.00046299811709377
любопытством,0.0004623396948501461
сапоги,0.00046194303359062207
принес,0.0004616505621620255
платок,0.0004616062979640967
кому,0.000460740003492789
должны,0.0004604684967145513
холодно,0.00045996511523402323
которых,0.0004594645705127819
отсюда,0.00045669577201138935
хорошенько,0.000456122541166283
грусть,0.0004550279161657181
собаки,0.0004549708148534071
родственник,0.00045483826106723017
тихонько,0.0004546905468844827
окна,0.00045453736355077133
такую,0.0004526221131845833
трудно,0.0004524302814277269
диковина,0.00045151109381792715
видеться,0.0004508545160900239
тише,0.0004507339958510032
хлеба,0.0004507026269902044
слегка,0.0004506729437205722
пятьдесят,0.0004505836076018972
всему,0.00044998593436198207
успел,0.0004493792474797426
пожалуйте,0.00044918842548024977
словно,0.00044902365415372246
почем,0.00044862996387500415
страсти,0.0004478101412870525
вопросы,0.00044762604803667486
чаще,0.00044662956130813786
крикнул,0.0004465977193424852
теткой,0.00044645026751137637
дел,0.0004456757966251751
навсегда,0.00044421217519014297
будете,0.0004437023948115525
задумалась,0.0004435072949832163
новую,0.00044290462113937977
начать,0.00044240104433983295
большим,0.0004414864713417325
лицом,0.0004413149934849015
триста,0.0004408343143297126
послать,0.00044049662027119586
смех,0.0004404613565030311
та,0.0004400331394905007
воротился,0.0004382957890394488
слышу,0.00043819900271138224
взглянув,0.0004370441570740224
наделал,0.00043633913546437306
идеал,0.0004360673360762725
упрекнул,0.0004360001304150487
настойчиво,0.0004359495469264288
видела,0.0004356220887048773
пришла,0.00043561299382491835
знали,0.00043440699349513113
ног,0.0004343398205583837
никуда,0.0004342231457751932
слушать,0.0004340187851850434
прошел,0.0004340011764552436
отвык,0.00043378501935735
печально,0.0004335507672373514
подал,0.00043311866614158186
серьезно,0.00043199762193320783
каков,0.0004303090700241339
вздохнув,0.0004302272702185456
тотчас,0.0004302237512153021
вставайте,0.00042718851004113373
чаю,0.0004264537288923902
слушаю,0.0004258601386542201
жизнью,0.00042527031454932626
здравствуйте,0.0004251839543584657
чувствую,0.00042475872516203027
старик,0.00042309527978478124
лето,0.00042293787784203704
ворот,0.00042256623849402724
врешь,0.0004213386910753267
права,0.00042121580261098805
ждет,0.0004211766429417805
перееду,0.0004203904114505583
парк,0.00041947915890774406
переехать,0.00041928608900345873
сне,0.00041921732943564635
переезжать,0.00041907950775242994
движения,0.0004189775421560669
шли,0.000418280761776038
скажешь,0.00041820414485909356
любишь,0.0004176406835757312
кресло,0.00041698512428693023
вечера,0.00041696577403311206
локти,0.00041695092778199676
лицу,0.00041686028638510006
рассеянно,0.00041673692364924776
трофимыч,0.00041468096719413344
душа,0.00041406051390792056
стоял,0.00041328214225257274
сидеть,0.0004129227630287345
давай,0.0004126468130785366
остался,0.00041254653729516454
уйти,0.0004118604662964066
стыд,0.0004114013955061173
сад,0.00041089698829175817
пошли,0.00041045256833980426
тридцать,0.00041034679865907547
машинально,0.0004102529503854123
уныло,0.00041011172848567993
каких,0.0004099539384926403
чувствовал,0.00040975705842866627
рад,0.00040935947747225177
таких,0.0004091007824241496
счеты,0.00040857168679856685
обо,0.00040847608813135346
мужа,0.0004083397716712184
возьму,0.00040796677216558045
чисто,0.0004076745575207056
имя,0.00040757757748462555
слышит,0.0004073115014445599
чувства,0.00040692551816534764
даст,0.0004067539564889992
смерть,0.0004066155641974879
взгляда,0.00040587623400703733
другим,0.00040587199801984106
тысячи,0.0004052487248394591
ушли,0.0004048272455110877
мгновенно,0.00040407572000054063
близко,0.00040401633566228425
богом,0.00040364373740756185
несчастный,0.00040277028298249415
новый,0.0004026692699863119
