Фамилия Имя Отчество,Дата смерти,Количество лет
Воронцова Фаина Ивановна,5 декабря 1885,-
Воронцовъ Михаилъ Васильевичъ,30 октября 1896,-
Воропановъ Николай Осиповичъ,17 февраля 1885,-
Вотолина Анна Ильинична,27 сентября 1786,-
Вохинъ Николай Васильевичъ,19 декабря 1853,-
Врасская Александра Николаевна,18 іюля 1860,-
Вульфъ Александра Александровна,27 августа 1882,65
Вульфъ Анна Николаевна,2 сентября 1857,-
Вульфъ Павелъ Ивановичъ,17 марта 1858,-
Вындомская Елизавета Борисовна,26 іюня 1887,82
Вяземская Александра Игнатьевна,22 іюля 1850,-
Галатова Анна Исааковна,21 ноября 1870,-
Галахова Анна Титовна,2 марта 1862,81
Галаховъ Иванъ Даниловичъ,30 іюня 1873,-
Галиновская Любовь Андреевна,13 іюля 1831,-
Галушкинъ Михаилъ Яковлевичъ,13 іюня 1900,-
Гейльфрихъ Елена Карловна,27 мая 1906,91
Генъ Константинъ Александровичъ,21 мая 1898,-
Герцогъ Анна Петровна,14 ноября 1879,-
Гильсенъ Николай Романовичъ,22 іюня 1842,26
Гиппель Эдуардъ Эдуардовичъ,19 января 1882,-
Глазатова Авдотья Ивановна,7 марта 1873,69
Глазатова Параскева Якимовна,19 февраля 1797,65
Глазатовъ Иванъ Аеиногеновичъ,27 августа 1819,68
Глазатовъ Иванъ Макаровичъ,2 декабря 1864,67
Глазатовъ Иванъ Яковлевичъ,27 октября 1857,63
Глазатовъ Николай Титовичъ,28 іюня 1836,62
Глазатовъ Петръ Макаровичъ,15 іюля 1821,-
Глинка Александръ Ивановичъ,27 декабря 1876,-
Глинка Николай Спиридоновичъ,28 февраля 1866,-
Голенищева-Кутузова Елизавета Ниловна,1 марта 1833,-
Голенищевъ-Кутузовъ Иванъ Ивановичъ,20 іюля 1580,-
Голенкинъ Иванъ Наумовичъ,5 августа 1835,-
Голованова Александра Ивановна,2 іюня 1898,-
Головиыа Анна Антоновна,4 января 1867,-
Головинская Анна Ильинична,24 января 1901,-
Головинъ Александръ Павловичъ,16 марта 1874,-
Головинъ Иванъ Даниловичъ,8 августа 1856,-
Головинъ Николай Николаевичъ,8 іюля 1871,-
Голохвастова Александра Яковлевна,9 марта 1857,-
Гончаровъ Иванъ Николаевичъ,19 ноября 1881,-
Горемыкинъ Логгинъ Ивановичъ,24 марта 1864,-
Горская Параскева Платоновна,15 іюня 1877,77
Горталова Серафима Петровна,25 марта 1891,-
Готовцева Варвара Николаевна,25 декабря 1850,-
Готовцевъ Павелъ Константиновичъ,31 августа 1892,-
Готье Петръ Петровичъ,28 января 1863,68
Грабленова Параскева Гавриловна,23 іюня 1782,-
Грассъ Петръ Ивановичъ,31 іюля 1873,-
Грачевъ Митрофанъ Евграфовичъ,16 февраля 1893,-
Гревенсъ Николай Ивановичъ,6 мая 1848,-
Грибунмна Надежда Ильинична,13 декабря 1893,-
Грибунина Прасковья Михайловна,5 октября 1903,-
Грибунинъ Николай Петровичъ,11 ноября 1885,-
Григорова Елизавета Павловна,3 августа 1848,-
Григоровская Екатерина Павловна,27 марта 1880,-
Григоровичъ Иванъ Силычъ,15 ноября 1835,-
Григоровичъ Петръ Николаевичъ,11 сентября 1902,-
Григорьева Екатерина Михаиловна,3 марта 1868,-
Гросманъ Александръ Александровичъ,14 августа 1865,-
Грошевый Александръ Захарьевичъ,27 февраля 1835,-
Грудина Надежда Семеновна,19 февраля 1882,-
Груздевъ Павелъ Семеновичъ,22 мая 1864,-
Губарь Александръ Васильевичъ,8 января 1907,-
Гудимъ Ольга Ивановна,19 іюля 1889,-
Гулевичъ Николай Андреевичъ,21 октября 1889,-
Гуро Анна Михайловна,7 мая 1906,-
Гуро Генрихъ Степановичъ,25 мая 1907,-
Гурьева Авдотья Степановна,27 мая 1855,-
Гурьева Александра Григорьевна,3 ноября 1788,-
Гурьева Мавра Ивановна,15 августа 1783,-
Гюнтеръ Карлъ Карловичъ,8 октября 1901,-
Давыдова Александра Ивановна,1 января 1902,-
Давыдова Екатерина Львовна,23 марта 1808,-
Давыдова Параскева Васильевна,1 декабря 1908,-
Ярославской Контрольной Палатой,2 мая 1893,-
Давыдовъ Иванъ Петровичъ,1 января 1902,80
Давыдовъ Николай Александровичъ,24 февраля 1873,-
Николаемъ Васильевичемъ Нтолаевымб,7 января 1899,-
Давыдовъ Николай Ивановичъ,13 декабря 1805,45
Давыдовъ Петръ Петровичъ,31 іюля 1851,-
Дальбергъ Густавъ Васильевичъ,25 декабря 1879,-
Данзасъ Елизавета Михайловна,10 января 1906,-
Дараганъ Анна Ивановна,13 февраля 1882,-
Дараганъ Глафира Александровна,15 октября 1910,69
Даурова Агриппина Ивановна,2 іюля 1846,-
Дауровъ Николай Петровичъ,10 февраля 1828,-
Де-Бриньи Александра Егоровна,17 января 1895,-
Де-Бриньи Егоръ Александровичъ,29 марта 1857,-
Де-Бриньи Надежда Егоровна,30 января 1889,-
Деденева Екатерина Андреевна,12 мая 1856,56
Дельфинъ Александръ Александровичъ,15 марта 1865,-
Дельфинъ Серафима Александровна,22 декабря 1900,-
Демидова Авдотья Васильевна,24 августа 1793,-
Демидовъ Николай Петровичъ,13 декабря 1885,-
Демьянова Екатерина Яковлевна,2 августа 1778,-
Демьяновъ Иванъ Леонтьевичъ,2 іюня 1798,-
Демьяновъ Левъ Ивановичъ,17 мая 1797,-
Дешевой Михаилъ Семеновичъ,9 мая 1892,-
Дивова Варвара Васильевна,4 іюля 1854,64
Дивовъ Николай Александровичъ,1 декабря 1904,49
Дивовъ Николай Борисовичъ,27 февраля 1882,-
Дирина Екатерина Ильинична,14 января 1875,53
Диринъ Иванъ Егоровичъ,30 марта 1892,66
Диринъ Николай Ивановичъ,21 марта 1828,24
Диринъ Петръ Ивановичъ,24 января 1892,29
Дитерихсъ Екатерина Яковлевна,22 декабря 1891,-
Дитерихсъ Елизавета Николаевна,16 іюня 1866,-
Дитерихсъ Елизавета Яковлевна,7 августа 1904,-
Доброхотова Надежда Яковлевна,23 мая 1864,-
Добрынина Параскева Ивановна,3 сентября 1825,59
Добрынинъ Иванъ Андреевичъ,23 января 1825,-
Дозоровъ Николай Ивановичъ,15 февраля 1818,60
Долгановъ Петръ Игнатьевичъ,18 декабря 1906,76
Долговъ Михаилъ Евграфовичъ,21 января 1871,64
Долгополова Варвара Васильевна,13 сентября 1862,78
Доможировъ Петръ Николаевичъ,30 декабря 1888,-
Дорошкевичъ Елеонора Антоновна,19 октября 1889,85
Дорошкевичъ Ираида Ивановна,30 декабря 1886,-
Достоевская Домника Ивановна,8 февраля 1887,-
Дубасовъ Александръ Васильевичъ,17 мая 1825,-
Дубровина Анна Никитична,28 марта 1880,-
Дунаевъ Иванъ Николаевичъ,8 марта 1903,-
Дуфнеръ Павелъ Мартыновичъ,26 декабря 1900,-
Дьякова Надежда Павловна,30 мая 1887,-
Дьяковъ Яковъ Семеновичъ,17 января 1786,27
Дьяконова Ольга Николаевна,16 октября 1896,-
Дюмурье Елена Стефановна,8 февраля 1844,-
Евреинова Александра Яковлевна,23 января 1904,-
Евреинова Анна Ивановна,10 іюня 1836,-
Евреиновъ Яковъ Михайловичъ,27 марта 1847,-
Егорова Варвара Павловна,28 марта 1909,-
Екимовъ Александръ Ивановичъ,13 ноября 1867,-
Елагина Александра Ивановна,16 іюня 1882,-
Елагина Анна Парфентьевна,21 декабря 1811,-
Елагина Неонилла Ивановна,7 февраля 1843,-
Елагинъ Александръ Петровичъ,28 марта 1855,-
Елагинъ Павелъ Петровичъ,11 ноября 1903,-
Елагинъ Петръ Васильевичъ,10 мая 1890,-
Елагинъ Петръ Николаевичъ,2 января 1845,-
Елчина Надежда Васильевна,1 февраля 1830,-
Елчинъ Михаилъ Лаврентьевичъ,7 января 1826,-
Ельчанинова Анна Андреевна,20 іюля 1841,77
Ельчанинова Анна Яковлевна,24 сентября 1844,70
Ельчанинова Варвара Николаевна,4 августа 1875,-
Ельчаниновъ Николай Михайловичъ,3 ноября 1832,-
Ельчаниновъ Семенъ Андреевичъ,7 января 1801,-
Епанчина Авдотья Михайловна,24 января 1794,-
Епишева Анна Никитична,10 августа 1825,-
Ераковъ Николай Петровичъ,11 января 1859,-
Ермолова Александра Петровна,26 іюня 1838,-
Ермоловъ Вадимъ Егоровичъ,28 февраля 1875,45
Еропкина Екатерина Васильевна,30 іюля 1790,-
Есипова Анна Александровна,2 мая 1883,36
Есипова Анна Михайловна,2 іюня 1886,60
Есипозъ Александръ Петровичъ,1 октября 1815,-
Есиповъ Кузьма Ивановичъ,27 марта 1797,-
Ефимовичъ Александръ Кондратьевичъ,9 ноября 1855,-
Жадовской Эсперъ Константиновичъ,18 января 1893,-
Жандръ Александръ Александровичъ,6 февраля 1865,-
Жаринова Анна Александровна,1 ноября 1891,56
Жариновъ Александръ Ивановичъ,15 октября 1896,86
Жариновъ Иванъ Гавриловичъ,15 декабря 1843,-
Ждановъ Михаилъ Ивановичъ,3 ноября 1884,-
Жемчужниковъ Петръ Лукичъ,22 марта 1908,-
Жеребцовъ Александръ Петровичъ,24 іюня 1869,-
Жеребцовъ Николай Михайловичъ,20 марта 1805,50
Жеребцовъ Яковъ Ивановичъ,24 іюня 1852,31
Жехова Екатерина Гавриловна,20 февраля 1900,-
Тверской Казенной Палатой,19 марта 1896,-
Житкова Параскева Кузьминична,4 ноября 1861,76
Житковъ Иванъ Тихоновичъ,10 августа 1856,-
Жолобова Ирина Васильевна,16 мая 1905,-
Жохова Варвара Александровна,7 ноября 1847,-
Жоховъ Михаилъ Яковлевичъ,5 марта 1879,-
Жуковъ Викторъ Константиновичъ,5 мая 1902,-
Жуковъ Петръ Александровичъ,21 марта 1815,-
Завалишина Маргарита Казимировна,11 января 1912,-
Завалишинъ Иванъ Петровичъ,26 марта 1853,50
Завалишинъ Помпей Ивановичъ,7 декабря 1908,-
Заваскина Александра Стефановна,23 февраля 1891,-
Завьяловъ Петръ Петровичъ,16 августа 1852,-
Завьяловъ Яковъ Михайловичъ,6 іюля 1910,-
Загрязская Александра Николаева,23 февраля 1834,-
Задоринъ Петръ Захаровичъ,3 августа 1906,-
Зарина Ольга Яковлевна,12 іюня 1908,-
Заринъ Андрей Ивановичъ,20 марта 1842,-
Захаревичъ Александръ Ивановичъ,2 декабря 1874,54
Захарова Акилина Николаевна,21 іюля 1831,-
Захарова Анна Семеновна,30 іюля 1875,19
Захарова Любовь Петровна,27 мая 1905,-
Захаровъ Петръ Степановичъ,25 декабря 1860,-
Захаровъ Семенъ Степановичъ,23 іюня 1856,-
Захарьина Екатерина Петровна,26 марта 1910,-
Захарьина Серафима Михайловна,2 мая 1861,-
Захарьинъ Петръ Абрамовичъ,28 февраля 1877,-
Збруевъ Петръ Никитичъ,1 іюня 1886,46
Зворыкинъ Александръ Васильевичъ,14 августа 1863,-
Зварыкинъ Иванъ Степановичъ,18 марта 1868,69
Здоровенкова Христина Ивановна,4 августа 1875,-
Зенковичъ Викторъ Семеновичъ,27 августа 1908,-
Зилова Анна Ивановна,18 февраля 1813,89
Зилова Анна Ивановна,20 февраля 1829,-
Зилова Екатерина Павловна,17 марта 1879,-
Зилова Ольга Николаевна,1 августа 1862,-
Зилова Прасковья Моисеевна,2 января 1805,95
Зилова Параскева Павловна,26 іюля 1895,56
Зиловъ Александръ Павловичъ,2 ноября 1879,-
Зиловъ Михаилъ Николаевичъ,9 августа 1872,21
Зиловъ Николай Александровичъ,10 сентября 1858,48
Зиловъ Павелъ Александровичъ,6 ноября 1844,33
Зиновьева Аграфена Яковлевна,20 октября 1813,-
Зиновьевъ Петръ Андреевичъ,27 іюля 1827,74
Зиновьевъ Петръ Кирилловичъ,9 мая 1840,64
Зиновьевъ Филиппъ Кирилловичъ,22 марта 1855,66
Зубова Анна Павловна,17 марта 1838,-
Зыкова Екатерина Александровна,19 ноября 1850,-
Зыковъ Иванъ Никаноровичъ,6 января 1868,-
Зыковъ Петръ Николаевичъ,19 мая 1839,-
Иванова Александра Петровна,7 августа 1833,34
Иванова Елена Стефановна,16 августа 1856,-
Ивинъ Леонидъ Саввичъ,13 марта 1886,73
Ивковъ Александръ Никитичъ,30 октября 1848,80
Игнатьева Александра Ивановна,14 декабря 1887,86
Игнатьева Екатерина Ивановна,29 сентября 1846,-
Игнатьева Надежда Егоровна,20 іюня 1810,-
Игнатьевъ Николай Ивановичъ,18 ноября 1800,-
Игнатьевъ Николай Павловичъ,1 декабря 1886,54
Игумновъ Ермолай Никитичъ,19 января 1888,57
Измаильская Елизавета Митрофановна,8 іюля 1890,64
Измайлова Александра Николаевна,25 іюня 1848,-
Измайлова Александра Петровна,4 января 1906,-
Измалкова Анна Васильевна,15 декабря 1864,-
Изюмовъ Павелъ Михайловичъ,15 іюля 1905,-
Иконникова Анна Ивановна,4 декабря 1830,-
Илимовъ Петръ Николаевичъ,16 сентября 1853,-
Ильенкова Авдотья Яковлевна,23 марта 1879,76
Ильина Елена Андреевна,2 іюля 1912,-
Ильина Татьяна Ивановна,10 октября 1856,64
Ильинъ Александръ Степановичъ,12 мая 1847,65
Ярославской Казенной Палаты,30 января 1847,-
Ирецкая Ольга Павловна,14 мая 1881,-
Ирецкая Параскева Николаевна,24 іюля 1885,52
Исленьевъ Николай Ивановичъ,26 января 1818,-
Исполатовъ Николай Васильевичъ,7 сентября 1893,-
Истоминъ Иванъ Михайловичъ,10 мая 1886,-
Казакова Екатерина Петровна,17 сентября 1880,-
Казанская Анна Петровна,12 августа 1896,-
Кайсарова Елена Васильевна,5 декабря 1837,-
Калашникова Ирина Семеновна,2 сентября 1835,55
Калашниковъ Никита Ивановичъ,2 ноября 1845,-
Каллистовъ Петръ Григорьевичъ,31 декабря 1880,-
Калмыковъ Антонъ Михайловичъ,25 октября 1895,-
Калошина Екатерина Акимовна,4 августа 1839,-
Каменевъ Иванъ Львовичъ,30 сентября 1859,-
Камынинъ Михаилъ Артемьевичъ,5 іюля 1649,-
Каратаева Ольга Васильевна,9 іюня 1839,-
Караулова Александра Ивановна,3 сентября 1876,-
Карновичъ Александра Ивановна,24 мая 1812,-
Карновичъ Денисъ Гавриловичъ,7 августа 1878,-
Карновичъ Елизавета Васильевна,17 сентября 1830,-
Карновичъ Ефимъ Степановичъ,18 декабря 1855,-
Карпова Шарлотта Григорьевна,14 марта 1882,-
Карцева Галина Константиновна,7 іюня 1876,-
Карякина Елена Оттомаровна,14 марта 1879,-
Карякинъ Петръ Михайловичъ,4 января 1908,-
Катенинъ Андрей Михаиловичъ,23 августа 1865,-
Катенинъ Михаилъ Михаиловичъ,3 іюля 1877,-
Катенинъ Петръ Александровичъ,1 декабря 1841,-
Кафтырева Александра Ивановна,26 ігоня 1863,-
Кафтырева Любовь Михайловна,4 іюля 1870,-
Кафтыревъ Александръ Николаевичъ,24 сентября 1886,-
Кафтыревъ Иванъ Захаровичъ,4 марта 1823,-
Нафтыревъ Николай Ивановичъ,16 февраля 1872,-
Кафтыревъ Николай Яковлевичъ,22 мая 1861,-
Качалова Параскева Осиповна,10 января 1801,43
Кашинцевъ Александръ Ивановичъ,1 мая 1821,-
Ивашнина Александра Николаевна,7 октября 1850,38
Ивашнина Параскева Ивановна,14 сентября 1876,72
Квашнинъ Иванъ Григорьевичъ,8 января 1830,-
Нвашнинъ Павелъ Степановичъ,8 іюня 1819,36
Нвашнинъ-Самаринъ Аполлонъ Ивановичъ,16 марта 1810,-
Квашнинъ-Самаринъ Илья Петровичъ,23 мая 1808,26
Квашнинъ-Санаринъ Петръ Яковлевичъ,14 декабря 1823,-
Квашнинъ-Самаринъ Тихонъ Семеновичъ,9 марта 1776,53
