Word,Frequency
останется,10
верстах,10
нашей,10
тень,10
театр,10
бессознательно,10
думая,10
многое,10
твердила,10
смеха,10
мечтал,10
мире,10
захрипел,10
духа,10
засмеялась,10
половине,10
словах,10
оставалось,10
ильинских,10
замечал,10
другими,10
надежды,10
лета,10
смысл,10
внутренне,10
отношения,10
штольцем,10
ходили,10
знак,10
свидания,10
настойчиво,10
очередь,10
сапог,10
верить,10
взглянет,10
снег,10
начали,10
печально,10
пожалуйте,10
пришло,10
глубже,10
взгляды,10
человеку,10
полчаса,10
двумя,10
добрые,10
забудет,10
агафьи,10
матвеевны,10
душ,10
сказано,10
сутки,10
лошадей,10
сторон,10
илюша,10
маша,10
иные,10
ходила,10
дождь,10
скаканье,10
дверей,10
сохрани,10
должность,10
ездить,10
здоров,10
начале,10
смотрят,10
монотонно,10
ивановна,10
счет,10
прошу,10
нравится,10
перенес,10
ночам,10
дурно,10
отдал,10
самые,9
цвет,9
такою,9
почем,9
лай,9
послал,9
переменить,9
угрюмо,9
авось,9
случай,9
скуки,9
пришли,9
гору,9
посмотрит,9
воздуха,9
екатерингоф,9
увидишь,9
доброго,9
человеком,9
вести,9
начало,9
слыхать,9
оставаться,9
смотрели,9
начальник,9
расстаться,9
слове,9
пальцами,9
насилу,9
открыто,9
просила,9
передать,9
скажут,9
мимоходом,9
дружба,9
каков,9
пешком,9
полы,9
природа,9
приходило,9
волос,9
поскорей,9
уныло,9
никита,9
надел,9
зевая,9
кончится,9
гость,9
помилуйте,9
вяло,9
лес,9
любопытства,9
бежать,9
вишь,9
прошли,9
живые,9
разными,9
игра,9
звуки,9
обществе,9
слушаю,9
немца,9
правду,9
оставил,9
знакомых,9
книга,9
куме,9
решить,9
видала,9
дает,9
отчасти,9
простите,9
прошлое,9
имения,9
здоровья,9
беспрестанно,9
работать,9
ужо,9
светло,9
самое,9
платком,9
сила,9
желаний,9
плеч,9
этак,9
андрюша,9
встанет,9
начинается,9
затылок,9
славная,9
очнулся,9
пуще,9
обращаясь,9
помнит,9
ужель,9
поехать,9
картин,9
остановились,9
тупо,9
полдень,9
ужаса,9
окну,9
далее,9
полгода,9
беда,9
сознанием,9
раздался,9
барыня,9
барышню,9
обстоятельствам,9
мухояров,9
лежали,9
часы,9
верю,9
отдали,9
сядет,9
стою,9
болтать,9
дыхание,9
накануне,9
лакей,9
улыбнулась,9
свадьбе,9
старые,9
просят,9
лежала,9
речи,9
квасу,9
лаем,9
землю,9
выйти,9
забот,9
переехать,9
парке,9
вздумал,9
затертый,9
ел,9
сюртук,9
лоб,9
воздухе,9
лежало,9
узнала,9
делом,9
удивления,9
уходил,9
обедал,9
умереть,9
рад,9
пение,9
локтями,9
сознательно,9
шагу,9
считать,9
попал,9
большую,9
широко,9
ездил,9
помни,8
чашки,8
храпенье,8
совет,8
новости,8
вечная,8
момент,8
ассигнациями,8
упрямо,8
налево,8
каждой,8
билось,8
желания,8
людям,8
изредка,8
рода,8
согласия,8
горло,8
прошла,8
женится,8
платья,8
лучей,8
отрицательно,8
девочка,8
наших,8
васька,8
магазина,8
неподвижно,8
носил,8
можешь,8
рубашку,8
матвеевича,8
взяли,8
кучера,8
последние,8
переехал,8
приговор,8
вопросами,8
гордость,8
держать,8
показать,8
срок,8
суп,8
родственник,8
сделали,8
занятия,8
крикнул,8
старался,8
купить,8
лука,8
подняв,8
воспоминания,8
оглядываясь,8
извольте,8
явится,8
двору,8
приходит,8
одеваться,8
борьбы,8
приедет,8
явлений,8
людях,8
болен,8
читаю,8
грех,8
поднимая,8
сидели,8
покажется,8
жених,8
плечами,8
горько,8
несчастный,8
дачи,8
жилет,8
присутствием,8
написано,8
пойти,8
ожидая,8
лошади,8
заметно,8
вошла,8
скажешь,8
кресле,8
худо,8
сторонам,8
выходит,8
досказала,8
большое,8
послушайте,8
причина,8
захарка,8
контракт,8
обломовцы,8
заговорили,8
умеет,8
жара,8
получит,8
горит,8
подать,8
вздор,8
верст,8
чтение,8
вздохнув,8
сказав,8
считал,8
вставайте,8
забудь,8
лукаво,8
погодите,8
зеркало,8
подай,8
давала,8
конце,8
раздается,8
увидя,8
экипаж,8
каком,8
заглядывал,8
спрашивали,8
иди,8
перееду,8
проговорил,8
носом,8
начинает,8
первая,8
нужен,8
работа,8
аллею,8
ложь,8
прочие,8
характер,8
ожидал,8
локтем,8
добра,8
дала,8
появилась,8
задумывался,8
повелительно,8
хозяин,8
радостью,8
взглянула,8
сударь,8
общество,8
жалованье,8
татьяна,8
оставь,8
идут,8
направо,8
нежен,8
напишу,8
мастер,8
сознание,8
мужем,8
заключила,8
достоинством,8
петербург,8
покорно,8
выборгской,8
знакомый,8
облако,8
быт,8
бросил,8
перешла,8
преданность,8
стыда,8
шее,8
прочитал,8
музыку,8
внутри,8
прежний,8
щеку,8
оглядывая,8
темно,8
солнца,8
натурально,8
зубы,8
учиться,8
случалось,8
которыми,8
готова,8
разговора,8
радостно,8
срам,8
покажу,8
ошибки,8
читали,8
чешется,8
легче,8
миг,8
ужасно,8
напишет,8
двадцати,8
пойдут,8
удар,8
части,8
садясь,8
гордостью,8
подь,8
слушай,8
барином,8
баб,8
решила,8
виду,8
хозяйкой,8
стену,8
молчит,8
овраг,8
беспокойно,8
уроки,8
отворил,8
подала,8
помещик,8
досадно,8
двенадцати,8
словам,8
потерял,8
рассказывать,8
кабы,8
сорок,8
несчастья,8
явления,8
андрюши,8
боялась,8
чужой,8
дрова,8
навстречу,8
смехом,8
глубокого,8
лежа,8
поприще,8
нашла,8
играть,8
ученья,8
дорожке,8
ловко,8
бывал,8
днях,8
обернулся,8
зиму,8
подтвердил,8
петербурге,8
покое,8
требует,8
сестра,8
двое,8
радость,8
опершись,8
сделается,8
счастью,8
домом,8
смотря,8
бедный,8
беспокойством,8
воспитание,8
пишут,7
глубокой,7
почувствовал,7
известно,7
старого,7
розовые,7
живешь,7
музыка,7
положим,7
слышится,7
цыплята,7
входил,7
испугался,7
страха,7
тоски,7
происходит,7
собственной,7
ездит,7
церковь,7
мечта,7
мужчиной,7
мучительно,7
дружбы,7
какими,7
опыта,7
гостиную,7
спроси,7
спрятал,7
яростью,7
проснется,7
понимала,7
боязнью,7
возьми,7
хороший,7
врешь,7
поцелуй,7
шатается,7
сосед,7
земляк,7
биение,7
цыплятами,7
реки,7
пола,7
уходя,7
улыбку,7
раздалось,7
пропадает,7
расскажите,7
рукава,7
увижу,7
отвечает,7
подписать,7
бакенбарды,7
течение,7
пятно,7
старуха,7
посмотрела,7
живу,7
чулок,7
добрая,7
стены,7
благодарю,7
тарелку,7
деревьев,7
грубо,7
бросилась,7
тяжесть,7
тела,7
шеей,7
истина,7
беспорядок,7
губах,7
молчали,7
кончить,7
большими,7
заплакала,7
литератор,7
остановил,7
малейшего,7
трех,7
газеты,7
вашего,7
вышла,7
замолчал,7
самый,7
карман,7
тоска,7
роли,7
покойника,7
ребенком,7
старухи,7
слуга,7
присутствие,7
узор,7
становилось,7
труда,7
покраснел,7
глупости,7
настоящее,7
женщине,7
братцу,7
служил,7
велела,7
явилась,7
возьму,7
гроша,7
имеет,7
искала,7
поезжай,7
веки,7
бодрость,7
жив,7
нету,7
обломовых,7
плечу,7
бросила,7
старая,7
апатию,7
бежит,7
тарантьеву,7
играют,7
недоставало,7
именины,7
дачу,7
край,7
твое,7
кулаком,7
готовый,7
ложу,7
свадьбу,7
болезни,7
маленького,7
ждали,7
общий,7
спрашивать,7
платка,7
немцу,7
врет,7
лежат,7
торжественно,7
ленивой,7
щеки,7
театре,7
силами,7
встав,7
слышь,7
новая,7
авторитет,7
улыбалась,7
должности,7
намерения,7
подносом,7
встала,7
голосе,7
ильинскую,7
трепета,7
неделя,7
примется,7
замечает,7
светлое,7
поблекло,7
тоской,7
ест,7
дают,7
оправдывался,7
звали,7
курс,7
отлично,7
жду,7
моет,7
имением,7
человеке,7
птица,7
заемное,7
зла,7
волнение,7
движется,7
рубль,7
подумаешь,7
совершенно,7
вечеру,7
роще,7
плетень,7
гривен,7
едем,7
лежанки,7
держал,7
будущего,7
делам,7
погрузился,7
нехорошо,7
пятидесяти,7
природе,7
досказал,7
открыть,7
жаром,7
удовольствием,7
берегу,7
скороговоркой,7
пятна,7
славно,7
цыпочках,7
испугом,7
подробности,7
упал,7
симптомы,7
гонят,7
дремоту,7
хозяйской,7
господь,7
помолчав,7
палату,7
блеск,7
съехать,7
нужна,7
копеек,7
письму,7
хотят,7
зевнул,7
сидят,7
тайком,7
благополучно,7
живостью,7
перемен,7
диковина,7
боль,7
горле,7
внимания,7
ляжет,7
пустяков,7
сыну,7
праздно,7
сада,7
бок,7
уехали,7
крестьян,7
холода,7
ваня,7
науки,7
здравствуйте,7
становилась,7
собрались,7
сигару,7
село,7
простым,7
подходите,7
наружу,7
мужик,7
мучилась,7
восьми,7
дне,7
значительно,7
дитя,7
иваном,7
шаль,7
умел,7
десяти,7
цыплят,7
мирно,7
чиста,7
длинные,7
недоимки,7
служит,7
вечное,7
фрака,7
волновался,7
похоже,7
новость,7
сделала,7
губами,7
андрюшу,7
вчерашнего,7
белые,7
прямой,7
подумала,7
прежнего,7
уверенностью,7
читала,7
оброк,7
сверх,7
светом,7
читаете,7
французский,7
зовут,7
женщину,7
броситься,7
блюда,7
наслаждением,7
бумага,7
грибами,7
сфере,7
привык,7
считая,7
поднял,7
палате,7
тепло,7
злобно,7
ехал,7
помните,7
темноте,7
рассказал,7
пальцы,7
наделал,7
стать,7
палец,7
счастьем,7
изменился,7
галстук,7
силой,7
жарко,7
поступить,7
народ,7
надевать,7
галереи,6
вглядываясь,6
меры,6
бледный,6
хозяйку,6
прервал,6
детстве,6
шагов,6
вышло,6
звал,6
разбирать,6
зашел,6
необходимо,6
пиши,6
ухо,6
поет,6
улыбке,6
четверть,6
своею,6
любили,6
полей,6
любовался,6
нева,6
горечью,6
родился,6
рассказ,6
удавалось,6
жильца,6
треск,6
пропащий,6
иваныча,6
сошел,6
смешил,6
дрожат,6
становится,6
презрением,6
настанет,6
ожидании,6
местах,6
извозчика,6
кротко,6
живого,6
марья,6
открывая,6
гаснул,6
являлась,6
смущенный,6
щетки,6
вопроса,6
суд,6
третьего,6
сходить,6
бойся,6
бросалась,6
милый,6
часам,6
послышался,6
страшное,6
решено,6
часу,6
родителей,6
бормотал,6
царство,6
явился,6
уехала,6
молчанием,6
уехать,6
простой,6
первой,6
встать,6
поглядев,6
щеках,6
увидите,6
савич,6
купил,6
кате,6
старалась,6
няни,6
готовить,6
птицы,6
борьбу,6
открыла,6
прожил,6
упадет,6
чувствовать,6
самолюбия,6
мальчишка,6
ветки,6
траву,6
воротясь,6
стуле,6
понимать,6
выпил,6
посуда,6
обедом,6
участие,6
путешествия,6
нейдет,6
вдова,6
поднимет,6
горя,6
отговаривался,6
коляска,6
пояс,6
хохот,6
подумай,6
видались,6
теплый,6
порядке,6
старым,6
делаешь,6
кусок,6
страх,6
плечи,6
картину,6
река,6
шагнул,6
признак,6
нравов,6
провалиться,6
людской,6
кипит,6
принимать,6
сердитесь,6
боязнь,6
первые,6
свету,6
нерешительно,6
благодаря,6
смущением,6
степени,6
ужин,6
разным,6
сердито,6
обломовки,6
приносил,6
удержать,6
заметить,6
шума,6
бывают,6
аппетитом,6
некому,6
шутка,6
ошибку,6
полюбила,6
пальто,6
умолял,6
берега,6
исчез,6
пожал,6
подавал,6
чужие,6
попробуй,6
мелочи,6
многих,6
наскоро,6
вывести,6
достоинство,6
столом,6
силах,6
давать,6
боку,6
тишины,6
книге,6
невозможно,6
жжет,6
положении,6
заплатить,6
здорова,6
поверить,6
погрозил,6
послала,6
любуясь,6
махнул,6
мальчишки,6
пылью,6
гордости,6
пред,6
симпатия,6
мелочь,6
подозревая,6
дорого,6
настаивал,6
зовет,6
воображения,6
сухой,6
матвеич,6
твоего,6
широкие,6
издали,6
истины,6
женщинами,6
вздохнула,6
толпы,6
старики,6
слезах,6
карету,6
раскаяние,6
хорошего,6
канцелярии,6
впечатления,6
крепче,6
твердо,6
замок,6
угодно,6
поры,6
чемодан,6
невеста,6
покорности,6
коляску,6
обоих,6
зонтик,6
послышалось,6
окончательно,6
повар,6
захотел,6
темнее,6
всякую,6
обыкновенно,6
цветок,6
годится,6
следил,6
совестно,6
такими,6
целая,6
выдумает,6
прочла,6
ай,6
обеими,6
грустно,6
пения,6
отправился,6
гордо,6
